List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
1,HS 641,English Communication Skills,2 - 0 - 2 - 0,8,Dr. Ananya Ghoshal,"Dr. Ananya Ghoshal,",-,0
2,MA 106(A),Linear Algebra and Ordinary Differential Equation-I,3 - 1 - 0 - 4,139,Dr. Ashisha Kumar,"Dr. Ashisha Kumar, Dr. Vijay Kumar Sohani,",A,IE-104
3,CH 103,Chemistry,3 - 1 - 0 - 4,139,Dr. Sampak Samanta,"Dr. Dipak Kumar Roy, Dr. Sampak Samanta, Dr. Satya S. Bulusu,",A,1B-201
4,CS 202,Automata Theory and Logic,2 - 1 - 0 - 3,69,Dr. Neminath Hubballi,"Dr. Neminath Hubballi,",A,1E-505
5,CS 302,Computer Graphics and Visualization,2 - 1 - 0 - 3,63,Dr. Somnath Dey,"Dr. Somnath Dey,",A,1E-506
6,EE 202,Signals and Systems,3 - 1 - 0 - 4,62,Prof. Ram Bilas Pachori,"Dr. Srivathsan Vasudevan, Prof. Ram Bilas Pachori,",A,0
7,EE 302,Control Systems,2 - 1 - 0 - 3,60,Dr. Saptarshi Ghosh,"Dr. Saptarshi Ghosh, Dr. Trapti Jain,",A,0
8,ME 202,Strength of Materials,3 - 1 - 0 - 4,62,Prof. Anand Parey,"Prof. Anand Parey,",A,0
9,ME 302,Applied Thermodynamics,2 - 1 - 0 - 3,60,Dr. Devendra Deshmukh,"Dr. Devendra Deshmukh,",A,0
10,CE 202,Structural Mechanics-I,2 - 1 - 0 - 3,34,Dr. Abhishek Rajput,"Dr. Abhishek Rajput,",A,1E-202A
11,CE 302,Geodesy-II,2 - 1 - 0 - 3,34,Dr. Mohd. Farooq Azam,"Dr. Mohd. Farooq Azam,",A,1E-202B
12,MM 202,Extractive Metallurgy,2 - 1 - 0 - 3,32,Dr. Ram Sajeevan Maurya,"Dr. Ram Sajeevan Maurya,",A,1E-404
13,CE 402,Water Resources Engineering,2 - 1 - 0 - 3,36,Dr. Manish Kumar Goyal,"Dr. Manish Kumar Goyal,",A,0
14,EE 440/640,Analog and Mixed Signal IC Design,2 - 1 - 0 - 3,22,Dr. Santosh K. Vishvakarma,"Dr. Santosh K. Vishvakarma, Dr. Saptarshi Ghosh,",A,0
15,HS 616,Advanced Sociological Theory,2 - 1 - 0 - 3,0,Dr. Ashok Kumar Mocherla,"Dr. Akshaya Kumar, Dr. Ashok Kumar Mocherla,",A,0
16,MM 402/602,Design and Selection of Materials,2 - 1 - 2 - 3,42,Dr. Dudekula Althaf Basha,"Dr. Dudekula Althaf Basha,",A,1E-406
17,BSE 102,Bio-Sciences,2 - 1 - 0 - 3,158,Dr. Mirza Saqib Baig,"Dr. Mirza Saqib Baig,",B,IE-104
18,CS 204,Design and Analysis of Algorithms,2 - 1 - 0 - 3,66,Dr. Kapil Ahuja,"Dr. Kapil Ahuja,",B,1E-505
